##### DIRECTORIOS #####	

.NAVEGAR 				            | cd <ruta>

.CREAR DIRECTORIO 			        | mkdir <modificador parámetro*> <ruta*>

.MOSTRAR CONTENIDO DIRECTORIO		| ls <modificador*> <ruta>

.COMPRIMIR/DESCOMPRIMIR DIRECTORIO	| tar <modificador*> <directorio.tar.gz> <ruta>

##### COMUNES #####

.ELIMINAR DIRECTORIO/ARCHIVOS		| rm <modificador*> <ruta>

.COPIAR DIRECTORIO/ARCHIVOS		    | cp <modificador*> <ruta> <ruta*>

##### ARCHIVOS #####

.CONCATENAR ARCHIVOS (stdo)		    | cat <modificador*> <fichero*> <STDIO> <fichero>

.ACTUALIZAR FECHA FICHERO		    | touch <modificador*> <fecha?> <fichero>

.ESTADO FICHERO				        | stat <modificador*> <fichero>

.BUSCAR PATRÓN EN FICHERO/S (stdo)	| grep <modificador*> <patrón?> <fichero*>

.EXTRAER SELECCIÓN (stdo)		    | cut -d <delimitador?> <fichero>

.MANIPULACIÓN DE TEXTO			    | awk <modificador*> <'PATRÓN {ACCIÓN}'> <fichero>

.EDITAR SECUENCIAS			        | sed <modificador> <'EXPRESIÓN'> <fichero>

.CAMBIAR PERMISOS			        | chmod <modificador> <permiso?> <fichero>

.CONTAR LINEAS				        | wc <modificador> <fichero>

.IMPRIMIR ABAJO				        | tail <modificador> <fichero>

.IMPRIMIR ARRIBA			        | head <modificador> <fichero>

##### ESTANDAR IO #####

.ESTÁNDAR OUTPUT (concatenar)	    | %%ENTRADA%% >> %%SALIDA%%

.ESTÁNDAR OUTPUT (reemplazar)		| %%ENTRADA%% > %%SALIDA%%

.ESTÁNDAR INPUT 			        | %%SALIDA%% < %%ENTRADA%%

##### MANEJO DESDE CONSOLA #####

.LEER DESDE CONSOLA			    | read <modificador> <"MSG"> <variable>

.IMPRIMIR EN CONSOLA			| echo <"MSG">

##### SISTEMA DE ARCHIVOS #####

.BUSCAR EN SISTEMA DE ARCHIVOS		    | find

.INFORMACIÓN DEL SISTEMA DE ARCHIVOS	| df
